id;nombre;codigo;estado;cli_red_id;punto_x;punto_y;long;lat;fecha_inicio;fecha_fin;numero_registros
38;Adra, Club Nautico;6277B;t;4;500743.7500;4068786.0000;-2.99166703816418;36.7642453654521;2000-12-31;2016-04-30;588784
435;TestPGPool;PS123;t;45;526826.0000;4107313.0000;-2.69808822498056;37.1111457206056;;;0
21;Alhama;EARM20;t;2;541018.0000;4090506.0000;-2.53926790975695;36.959144665485;1999-11-30;2016-04-30;3699066
74;Almera, Aeropuerto;6325O;t;9;554575.1900;4077703.2500;-2.38791696818926;36.8430544062233;1968-01-01;2016-04-30;1299628
58;Aldeire;5108;t;4;493673.4700;4112660.7500;-3.07124986539256;37.1597222423724;1985-12-01;2004-05-31;3991
60;Aldeire, I.N.M.;5108A;t;4;493661.2500;4112390.0000;-3.07138519317518;37.1572816343883;1990-08-01;2009-11-30;7029
24;Abla;RAIFAL006;t;6;520748.0000;4110650.0000;-2.76639099721333;37.1413886316521;1995-12-31;2016-04-30;1393748
32;Abla;6302A;t;4;517365.3100;4111635.0000;-2.80445481147475;37.1503362840447;2000-12-31;2016-04-30;672529
9;El Encinar;PSN05;t;22;509292.0000;4101036.0000;-2.89549688874162;37.0549118023569;2008-10-14;2014-06-27;2620221
11;Robledal de Cáñar;PSN07;t;22;461796.0000;4089860.0000;-3.42909217872427;36.9534400496861;2008-10-14;2014-06-27;4320047
34;Abrucena;6302;f;4;518221.3400;4109750.5000;-2.79486126157659;37.1333332599155;1954-09-01;1987-01-31;9063
35;Abrucena, Los Jarales;6301;t;4;519069.5600;4116532.0000;-2.78513897060736;37.1944439679075;1962-01-01;2009-02-28;13599
37;Adra;6277;f;4;501078.5900;4067976.0000;-2.98791664222012;36.7569432513949;1961-01-01;1996-02-29;7033
4;Algibe de Montenegro;PSN01;t;22;526825.0000;4107312.0000;-2.69808822498048;37.1111457206046;2008-10-14;2014-06-27;2489557
40;Agrn-Fatimbullar;5557O;f;4;429758.5600;4095268.5000;-3.78940343165116;37.0003436109536;1987-01-01;1994-12-31;2891
