id;codigo;descripcion;created_at;updated_at;unidades;codigo_oapn_v0;rango_inferior;rango_superior;diferencia_evolucion_temporal;codigo_oapn
130;PD1;PRECIPITACIóN TOTAL DIARIA DE 7 A 7;2010-10-13 08:04:27.613751;2010-10-13 08:04:27.613751;mm;;;;;
42;PI1;PRECIPITACIóN CAíDA EN EL PERIODO;2010-10-13 08:03:56.906869;2010-10-13 10:39:48.54853;mm;PRECIPITACION_TOT;0;42;;PLU(mm)
43;PRECIPITACION_TOT_MAX;PRECIPITACIóN MáXIMA CAíDA EN EL PERIODO;2010-10-13 08:03:57.206212;2010-10-13 10:40:16.723028;mm;PRECIPITACION_TOT_MAX;0;42;;PRECIPITACION_TOT_MAX(mm)
