"station_code","station_name","variable","start_date","end_date"
"6257","Lanjarón, Tello","Pd7a7",1965-01-01,1997-01-31
"6306","Alboloduy","Pd7a7",1965-01-01,2009-02-28
"6310","Ohanes, Central Eléctrica","Pd7a7",1965-01-01,2010-12-31
"6234","Trévelez","Pd7a7",1965-01-01,2012-12-31
"6262","Guájar, Fondón","Pd7a7",1965-01-01,2012-12-31
"6284","Turón","Pd7a7",1965-01-01,2012-12-31
"6300","Fiñana","Pd7a7",1965-01-01,2012-12-31
"5102","Cortes y Graena, Lopera","Pd7a7",1965-02-01,2015-08-31
"6245","Órjiva, Sierra de Lújar","Pd7a7",1965-11-01,1977-11-30
"5504A","Quentar, Aguas Blancas","Pd7a7",1966-01-01,1982-12-31
"5520","Alhendín, I.N.M.","Pd7a7",1966-02-01,2015-08-31
"6243","Pitres","Pd7a7",1966-11-01,1996-05-31
"6295E","Énix","Pd7a7",1968-01-01,1992-11-30
"5112A","Guadix, Instituto Técnico","Pd7a7",1969-04-01,2015-08-31
"5506F","Quentar, ICONA","Pd7a7",1970-05-01,1987-02-28
"6234E","Busquistar, Cortijo La Calahorra","Pd7a7",1971-01-01,1988-03-31
"5044E","Caniles, C. Fraile","Pd7a7",1971-01-01,1998-10-31
"5524A","Atarfe, SEA","Pd7a7",1971-02-01,1995-01-31
"6242U","Poqueira, Central Eléctrica","Pd7a7",1972-06-01,1998-12-31
"5530E","Granada, Aeropuerto","Pd7a7",1972-07-01,2015-08-31
"6243E","Pampaneira, Central","Pd7a7",1972-09-01,1998-12-31
"5109E","Alquife, Ms. del Marquesado","Pd7a7",1976-02-01,1989-03-31
"5113O","Valle del Zalabi, Charches","Pd7a7",1980-01-01,2015-08-31
"6299A","Hueneja, CHS","Pd7a7",1981-05-01,1986-03-31
"5106","Aldeire, Peña Forestal","Pd7a7",1983-01-01,1990-07-31
"5043I","Baza, Arredondo","Pd7a7",1983-02-01,1991-02-28
"5043E","Baza, El Tesorero","Pd7a7",1984-04-01,1998-10-31
"6251E","Dúrcal, Granja Escuela","Pd7a7",1985-01-01,1988-03-31
"6280U","Mairena","Pd7a7",1985-01-01,1992-05-31
"5111O","Guadix, El Castañuelo","Pd7a7",1985-06-01,1985-12-31
"5112B","Guadix, Can-Ibice","Pd7a7",1985-11-01,2015-08-31
"5519","Dílar","Pd7a7",1985-12-01,1989-03-31
"5507","Pinos-Genil, Acequia Gorda","Pd7a7",1985-12-01,1991-05-31
"5099","Huétor","Pd7a7",1985-12-01,2002-06-30
"5529","Santa Fé","Pd7a7",1985-12-01,2003-08-31
"5108","Aldeire","Pd7a7",1985-12-01,2004-05-31
"5559","Ventas de Huelma","Pd7a7",1985-12-01,2004-09-30
"5560","Chauchina, La Ola","Pd7a7",1985-12-01,2004-10-31
"5506","Pantano de Quentar","Pd7a7",1985-12-01,2007-12-31
"5116","Darro","Pd7a7",1985-12-01,2009-02-28
"5109","Jeres del Marquesado","Pd7a7",1985-12-01,2010-04-30
"5548","Atarfe, Caparacena","Pd7a7",1985-12-01,2010-05-31
"5101","La Peza","Pd7a7",1985-12-01,2010-06-30
"5115","Diezma","Pd7a7",1985-12-01,2010-06-30
"5509","Huétor-Santillán","Pd7a7",1985-12-01,2010-07-31
"5522","Albolote","Pd7a7",1985-12-01,2010-07-31
"5541","Pantano Cubillas","Pd7a7",1985-12-01,2010-07-31
"5559","Ventas de Huelma","Pd7a7",1985-12-01,2010-07-31
"5124","Gor","Pd7a7",1985-12-01,2010-08-31
"5502","Pinos-Genil","Pd7a7",1985-12-01,2010-08-31
"5517","Dílar, Central Eléctrica","Pd7a7",1985-12-01,2015-08-31
"6314I","Calar Alto","Pd7a7",1986-03-01,1989-12-31
"6274U","Albondón","Pd7a7",1986-07-01,2015-04-30
"5568U","Jayena, Los Alauises","Pd7a7",1986-10-01,2010-08-31
"5113A","Benalua de Guadix Zayete","Pd7a7",1986-10-01,2010-12-31
"5557O","Agrón-Fatimbullar","Pd7a7",1987-01-01,1994-12-31
"6274B","Sorvilán","Pd7a7",1987-06-01,2015-08-31
"6298I","Charches","Pd7a7",1988-01-01,2015-08-31
"5103","Cortes y Graena, Graena","Pd7a7",1989-01-01,1991-12-31
"5512","Monachil, Cortijo Mimbres","Pd7a7",1989-01-01,1998-07-31
"5501","Guejar-Sierra","Pd7a7",1989-01-01,2004-03-31
"5520A","Alhendín, C. de Aguas","Pd7a7",1989-01-01,2007-04-30
"6257I","Arquilla","Pd7a7",1989-01-01,2015-08-31
"6257O","Posturas","Pd7a7",1989-01-01,2015-08-31
"6281E","Velor","Pd7a7",1990-08-01,2013-01-31
"5108A","Aldeire, I.N.M.","Pd7a7",1990-08-01,2014-12-31
"5113","Benalua de Guadix","Pd7a7",1991-01-01,1991-05-31
"5558","Ventas de Huelma, Circullar","Pd7a7",1991-04-01,2000-04-30
"E190","Abla","Pd7a7",1991-06-06,2014-11-04
"E182","Granada, Aeropuerto","Pd024",1991-06-07,2004-04-22
"E182","Granada, Aeropuerto","Pd7a7",1991-06-07,2014-03-30
"5501O","Presa de Canales","Pd7a7",1992-01-01,2003-12-31
"5549","Pinos-Puente, C. de A.","Pd7a7",1992-01-01,2010-05-31
"5528","Chimeneas, Santa Catalina","Pd7a7",1992-06-01,2010-05-31
"5540","Calicasas","Pd7a7",1992-09-01,2010-08-31
"5516","Presa de Dílar","Pd7a7",1992-11-01,1997-05-31
"5514A","La Zubia","Pd7a7",1992-11-01,2015-08-31
"5510B","Granada, Generalife","Pd7a7",1993-05-01,2010-07-31
"5509A","Huétor-Santillán, Villa María","Pd7a7",1993-11-01,2015-07-31
"5522B","Albolote, Cortijo Albarrate","Pd7a7",1993-11-01,2015-08-31
"E027","Sierra Nevada, Monachil","Pd024",1997-01-09,1997-11-30
"EARM12","Abla","Pd7a7",1997-09-25,2006-09-08
"EARM09","Puerto Lobo","Pd7a7",1999-01-12,2009-05-11
"EARM10","Jeres del Marquesado","Pd7a7",1999-08-18,2015-08-31
"EARM27","Soportujar","Pd7a7",1999-09-22,2015-08-31
"RIA0405","Fiñana","Pd7a7",2000-02-01,2015-08-31
"RIA1804","Pinos Puente","Pd7a7",2000-08-23,2015-03-17
"RIA1806","Jerez del Marquesado","Pd7a7",2000-09-06,2015-08-29
"RIA1807","Cádiar","Pd7a7",2000-09-06,2015-08-31
"6302A","Abla","Pd7a7",2001-01-01,2015-08-31
"RIA1810","Padul","Pd7a7",2001-01-25,2015-08-31
"PG2","Refugio de Poqueira","Pd7a7",2004-11-04,2015-08-31
"RIA18101","IFAPA Centro Camino del Purchil","Pd7a7",2005-09-07,2015-08-31
"PG1","Tajos de Breca","Pd7a7",2005-11-19,2015-08-31
"SNEV292","Cortijuela","Pd7a7",2006-06-24,2008-04-15
"SNEV323","Laguna Seca 1","Pd7a7",2006-07-13,2008-03-31
"PSN02","Embarcadero","Pd7a7",2007-10-26,2015-08-31
"PSN05","El Encinar","Pd7a7",2007-11-16,2015-08-31
"PSN01","Algibe de Montenegro","Pd7a7",2007-11-21,2015-08-31
"PSN06","Laguna Seca","Pd7a7",2008-01-01,2015-08-30
"PSN03","Piedra de los Soldados","Pd7a7",2008-01-01,2015-08-31
"PSN04","Rambla de Guadix","Pd7a7",2008-01-01,2015-08-31
"PSN07","Robledal de Cáñar","Pd7a7",2008-01-01,2015-08-31
"PSN08","Veleta","Pd7a7",2008-01-01,2015-08-31
"PG3","Contraviesa","Pd7a7",2009-08-28,2015-08-31
"PG4","Cebadilla","Pd7a7",2012-10-11,2015-08-31
