"station_code","station_name","variable","start_date","end_date"
"5515A","Granada, Universidad","Pd7a7",1902-01-01,1939-12-31
"5112","Guadix, C. de A.","Pd7a7",1918-01-01,2004-02-29
"5110","Cogollos de Guadix","Pd7a7",1921-11-01,2002-05-31
"5513","Monachil","Pd7a7",1925-06-01,1994-03-31
"5515","Granada, Cartuja","Pd024",1929-11-01,2004-11-30
"5515","Granada, Cartuja","Pd7a7",1929-11-01,2004-11-30
"6248","Cañar, Los Jarales","Pd7a7",1945-01-01,1988-12-31
"6263","Presa de Vélez de Benaudalla","Pd7a7",1946-04-01,1987-01-31
"6251","Dúrcal, Presa","Pd7a7",1946-06-01,1992-12-31
"6264","Vélez de Benaudalla, Central","Pd7a7",1946-06-01,1995-03-31
"6252","Dúrcal, Central","Pd7a7",1946-06-01,1997-01-31
"5549A","Pinos-Puente, Vivero Forestal","Pd7a7",1947-06-01,1987-11-30
"6311","Canjayar","Pd7a7",1947-11-01,1990-12-31
"6287","Berja","Pd7a7",1947-12-01,1992-08-31
"6278","Alcolea","Pd7a7",1950-11-01,1975-07-31
"6302","Abrucena","Pd7a7",1954-09-01,1987-01-31
"5505","Beas de Granada, Puertoblanco","Pd7a7",1955-03-01,1974-12-31
"5107","Dólar, Casa Forestal","Pd7a7",1956-08-01,1976-12-31
"5100","Huétor","Pd7a7",1956-09-01,1966-07-31
"6307","Láujar, Cerecillo","Pd7a7",1960-01-01,2009-03-31
"6286","Berja, Castala","Pd7a7",1960-01-01,2010-02-28
"6295","Félix","Pd7a7",1960-01-01,2012-12-31
"6309","Láujar","Pd7a7",1960-01-01,2012-12-31
"6312","Canjayar, Vivero Cristal","Pd7a7",1960-01-01,2012-12-31
"5569E","Albuñuelas, Huida","Pd7a7",1960-01-01,2013-04-30
"5504","Quentar, Tocón","Pd7a7",1960-01-01,2015-08-31
"5514","Granada, Base Aérea","Pd7a7",1960-01-01,2015-08-31
"5518","Dílar, El Toril","Pd7a7",1960-01-01,2015-08-31
"6250","Padul, Aguadero","Pd7a7",1960-01-01,2015-08-31
"6253","Niguelas","Pd7a7",1960-01-01,2015-08-31
"6258","Lanjarón","Pd7a7",1960-01-01,2015-08-31
"6308","Láujar, Monterrey","Pd7a7",1960-01-01,2015-08-31
"6283","Beninar","Pd7a7",1961-01-01,1985-09-30
"6304","Doña María de Oca a Santillana","Pd7a7",1961-01-01,1988-05-31
"6299E","Hueneja, La Ramblosa","Pd7a7",1961-01-01,1990-04-30
"6317","Fuente Santa","Pd7a7",1961-01-01,1991-04-30
"6318","Gatuna","Pd7a7",1961-01-01,1995-02-28
"6314","Alhama de Almería","Pd7a7",1961-01-01,2000-06-30
"6273","Albuñol a Órjiva, C.P.C.","Pd7a7",1961-01-01,2004-12-31
"6303","Nacimiento, Gilma Moderno","Pd7a7",1961-01-01,2010-11-30
"6347","Los Santos de Alcontar","Pd7a7",1961-01-01,2012-01-31
"6226","Torvizcón","Pd7a7",1961-01-01,2012-04-30
"6315","Gergal","Pd7a7",1961-01-01,2012-05-31
"6281","Ugíjar","Pd7a7",1961-01-01,2012-09-30
"6313","Alhama de Almería, La Zarba","Pd7a7",1961-01-01,2012-11-30
"6221","Lentegi","Pd7a7",1961-01-01,2012-12-31
"6224","Bérchules","Pd7a7",1961-01-01,2012-12-31
"6225","Cadiar","Pd7a7",1961-01-01,2012-12-31
"6246","Soportújar, Casa Forestal","Pd7a7",1961-01-01,2012-12-31
"6275","Albuñol","Pd7a7",1961-01-01,2012-12-31
"6282","Mecina Bombaron","Pd7a7",1961-01-01,2012-12-31
"6346","Alcontar","Pd7a7",1961-01-01,2012-12-31
"6236","Portugos","Pd7a7",1961-01-01,2015-07-31
"6247","Órgiva","Pd7a7",1961-01-01,2015-08-31
"6249","Padul","Pd7a7",1961-01-01,2015-08-31
"6261","Guájar, Faraguit","Pd7a7",1961-01-11,1986-09-30
"6254E","Albuñuelas","Pd7a7",1961-02-01,1986-11-30
"6305","Nacimiento","Pd7a7",1961-02-01,2012-12-31
"5526","La Mala","Pd7a7",1962-01-01,1977-04-30
"6301","Abrucena, Los Jarales","Pd7a7",1962-01-01,2012-12-31
"6316","Gergal a Nacimiento, C.P.C.","Pd7a7",1964-01-01,1988-03-31
"6279","Bayarcal","Pd7a7",1964-08-01,2012-12-31
"5511E","Granada, Sierra Nevada","Pd024",1965-01-01,1993-02-28
"5511E","Granada, Sierra Nevada","Pd7a7",1965-01-01,1993-02-28
